proposition,dominant_topic,topic_name,clean
Il faut remettre sur les boites de conserves la mention poids net égoutté afin que l'on sache si on achète du jus ou bien le contenu ,4,Habitude de consommation alimentaire,remettre boite conserve mention poids net égoutter savoir acheter jus contenu
"Il faut être conscient que consommer c'est voter pour : un mode de production,  de gestion de l'environnement, de gestion sociale",5,Gaspillage alimentaire,conscient consommer voter mode production gestion environnement gestion social
Il faut éduquer dès le primaire en expliquant à quoi servent les aliments que nous mangeons au bon développement du corps,8,Alimentation des enfants,éduquer primaire expliquer servir aliment manger développement corps
"Il faut manger local, manger des aliments de saison, manger moins de viande, manger des produits frais fabriqués de façon responsable ",4,Habitude de consommation alimentaire,manger local manger aliment saison manger viande manger frais fabriquer responsable
Il faut éduquer le goût pour redonner le goût des saveurs simples et naturelles sans arômes et sans exhausteur de goût,4,Habitude de consommation alimentaire,éduquer goût redonner goût saveur simple naturel arôme exhausteur goût
Il faut apprendre aux populations des gestes simples et applicables par tous pour mieux manger et réduire des déchets.  ,8,Alimentation des enfants,apprendre population geste simple applicable mieux manger réduire déchet
Il faut interdire l'exportation d'animaux élevés en batterie et OGM et pleins de médicaments ,0,Consommation Viande,interdire exportation animal élevé batterie ogm médicament
Il faut interdire les ingrédients industriels ajoutés dans le but de réduire les coûts. Par exemple l'huile de palme et ses dérivés,2,Produits transformés,interdire ingrédient industriel ajouter but réduire coût exemple huile palme dérivé
"Il faut arrêter de faire venir des poires d'Afrique du Sud comme c'est le cas actuellement dans les HYPER U, nous avons assez de vergers",6,Emballage alimentaire,arrêter venir poire afrique sud cas actuellement hyper verger
Il faut « manger pour vivre et non vivre pour manger » ,4,Habitude de consommation alimentaire,manger vivre vivre manger
"Il faut limiter les publicités télévisées pour des produits trop gras et trop sucrés, en particulier aux heures de grande écoute des enfants",4,Habitude de consommation alimentaire,limiter publicité télévisé gras sucrer heure grand écoute enfant
"Il faut favoriser l’émergence de technologies permettant une meilleure traçabilité de nos aliments (via des législations, investissements)",2,Produits transformés,favoriser lémergence technologie permettre meilleur traçabilité aliment législation investissement
"Il faut réduire la surpêche et la consommation de thon, dangereuse pour l'éco système et privilégier la sardine et le maquereau ",0,Consommation Viande,réduire surpêche consommation thon dangereux économie système privilégier sardine maquereau
Il faut taxer davantage les produits étrangers pour détaxer les produits locaux régionaux et nationaux ,7,Circuit court,taxer davantage étranger détaxer local régional national
Il faut arrêter la viande définitivement ,0,Consommation Viande,arrêter viande définitivement
Il faut simplement privilégier les achats en vrac et les aliments de saison,7,Circuit court,simplement privilégier achat vrac aliment saison
Il faut en finir avec les lobbies des produits laitiers et aider les éleveurs à changer de métier ,1,Agriculture biologique,finir lobby laitier aider éleveur changer métier
Il faut arrêter d'exiger des enfants qu'ils finissent leur assiette : cela leur apprend à ne pas prendre en compte leur signaux de satiété,0,Consommation Viande,arrêter exiger enfant finir assiette apprendre prendre compte signal satiété
Il faut multiplier les rayons légumes moches moins chers,7,Circuit court,multiplier rayon légume mocher
Il faut obliger les cantines scolaires/universitaires et les restaurants d’entreprise à avoir au moins 80% d’aliments bio/locaux,8,Alimentation des enfants,obliger cantine scolairesuniversitaire restaurant dentrepris daliments biolocaux
"Il faut ne pas faire n'importe quoi en agriculture et élevage, pour un monde meilleur et le respect des animaux",0,Consommation Viande,agriculture élevage monde meilleur respect animal
Il faut revenir à la culture traditionnelle biologique sans pesticide et avec un minimum d’engrais,1,Agriculture biologique,revenir culture traditionnel biologique pesticide minimum dengrai
Il faut interdire les actions des lobbys de la viande,1,Agriculture biologique,interdire action lobby viande
Il faut diminuer la quantité de sel et sucre sur les produits. Et proposer plus d'aliments sains,4,Habitude de consommation alimentaire,diminuer quantité sel sucre proposer aliment sain
"Il faut déjà enseigner dans les écoles les bases concernant l'alimentation (santé, gastronomie, production...)",8,Alimentation des enfants,déjà enseigner école base concerner alimentation santé gastronomie production
Il faut poursuivre en justice les industriels qui trichent sur la composition des plats cuisinés,2,Produits transformés,poursuivre justice industriel tricher composition plat cuisiné
"Il faut que chacun vive de sa récolte, avoir son potager, son poulailler, créer du troc et de l'échange, afin de tisser un lien social",3,Cultiver soi-même,récolte potager poulailler créer troc échange tisser lien social
"Il faut sortir de l'Europe, et reconstruire les protections pour les produits étrangers, élevés / produits avec des pesticides interdits !",1,Agriculture biologique,sortir europe reconstruire protection étranger élevé produire pesticide interdire
"Il faut que les gens s'informent tout simplement sur internet, pour leurs menus quotidiens, et faire ensuite leur cuisine",8,Alimentation des enfants,informer simplement internet menu quotidien ensuite cuisine
Il faut revoir le temps de travail pour dégager plus de temps pour faire les courses et la cuisine (hommes et femmes!),4,Habitude de consommation alimentaire,revoir temps travail dégager temps course cuisine homme femme
Il faut systématiquement mettre les nutriscore ,2,Produits transformés,systématiquement mettre nutriscore
"Il faut que l’alimentation bio, voire raisonnée, soit accessible à tous ",7,Circuit court,lalimentation bio raisonner accessible
Il faut s'approvisionner uniquement aux producteurs français et sélectionner les produits de qualité respectueux de l'environnement et bio,7,Circuit court,approvisionner uniquement producteur français sélectionner qualité respectueux environnement bio
"Il faut prendre le temps d’aller faire ses courses au marché, pour manger des produits frais en circuits courts ",7,Circuit court,prendre temps daller course marché manger frais circuit court
Il faut arrêter d'opposer les systèmes de production (bio / conventionnel)...,1,Agriculture biologique,arrêter opposer système production bio conventionnel
"Il faut mettre en avant, en valeur, dans les supermarchés, les produits régionaux, de saison",7,Circuit court,mettre supermarché régional saison
Il faut mieux contrôler l'origine de certain produits comme le miel de l'apiculteur qui a un goût de sucre pas super pour un produit bio,2,Produits transformés,mieux contrôler origine miel apiculteur goût sucre super bio
Il faut donner accès à l'impact environnemental de chaque produit que nous consommons,8,Alimentation des enfants,donner accès impact environnemental consommer
Il faut revenir à se nourrir Bio!,7,Circuit court,revenir nourrir bio
Il faut créer des ateliers culinaires à l'école. Comparer les aliments cuisinés pour apprécier les goûts et expliquer l'impact sur la santé,8,Alimentation des enfants,créer atelier culinaire école comparer aliment cuisiner apprécier goût expliquer impact santé
Il faut que les enfants aient accès à un potager dans leur ecole,3,Cultiver soi-même,enfant accès potager ecole
"Il faut instruire les agriculteurs, leur expliquer clairement qu'ils empoisonnent la terre et nous-mêmes",1,Agriculture biologique,instruire agriculteur expliquer clairement empoisonner terre nousmêmes
Il faut éduquer les enfants à la cuisine et la nutrition dès le plus jeune âge à la fois dans le cadre scolaire et privé.,8,Alimentation des enfants,éduquer enfant cuisine nutrition jeune âge cadre scolaire priver
Il faut s'engager à proposer des fruits et légumes de saison,7,Circuit court,engager proposer fruit légume saison
Il faut proposer un repas végétarien chaque jour à la cantine des écoles,8,Alimentation des enfants,proposer repas végétarien jour cantine école
"Il faut imposer l'appellation agriculture chimique, pour tous produits traités chimiquement",1,Agriculture biologique,imposer appellation agriculture chimique traiter chimiquement
Il faut plus de vrai bio à des prix acceptables,7,Circuit court,vrai bio prix acceptable
Il faut éviter les emballages et refuser tout emballage plastique ,6,Emballage alimentaire,éviter emballage refuser emballage plastique
Il faut arrêter les élevages intensifs et revenir à de petites structures ,1,Agriculture biologique,arrêter élevage intensif revenir petit structure
"Il faut arrêter de culpabiliser les consommateurs et vraiment travailler au niveau des distributeurs, les consommateurs suivront",5,Gaspillage alimentaire,arrêter culpabiliser consommateur vraiment travailler niveau distributeur consommateur suivre
"Il faut que les gens cessent de consommer bêtement, cessent de confondre saison et mode, cessent d'être crétinisés par les médias",5,Gaspillage alimentaire,cesser consommer bêtement cesser confondre saison mode cesser crétiniser média
Il faut que les entreprises pensent à la santé des gens et non à leur profit,9,Rémunération des agriculteurs,entreprise penser santé profit
"Il faut proposer la distribution en vrac pour certains produits, notamment les légumes secs ",7,Circuit court,proposer distribution vrac notamment légume sec
Il faut arrêter d'envelopper les aliments bio avec du plastique ,6,Emballage alimentaire,arrêter envelopper aliment bio plastique
"Il faut qu'ils se mettent tous au bio, c'est essentiel pour notre santé à tous, y compris les agriculteurs qui sont en première ligne",7,Circuit court,mettre bio essentiel santé agriculteur ligne
"Il faut échanger en famille, avec les amis, à l'école, avec les professionnels sur les astuces culinaires pour mieux manger",8,Alimentation des enfants,échanger famille ami école professionnel astuce culinaire mieux manger
Il faut permettre de lutter contre le gaspillage alimentaire en redistribuant en chaque fin de semaine des denrées sous petit chapiteau,5,Gaspillage alimentaire,permettre lutter gaspillage alimentaire redistribuer fin semaine denrée petit chapiteau
Il faut consommer local et respecter les fruits et légumes de saison,4,Habitude de consommation alimentaire,consommer local respecter fruit légume saison
Il faut apprendre aux jeunes à se nourrir correctement par l'apprentissage des produits de saisons,8,Alimentation des enfants,apprendre jeune nourrir correctement apprentissage saison
Il faut moins de sel et de sucre dans les produits,2,Produits transformés,sel sucre
"Il faut réapprendre aux gens à faire un potager Bio, pour qu'ils aient des légumes frais et des fruits à moindre coût",7,Circuit court,réapprendre potager bio légume frais fruit moindre coût
Il faut aller plus loin dans l'étiquetage... On connaît l'origine et on trace un poulet vendu entier... Rien concernant les morceaux débités,0,Consommation Viande,aller loin étiquetage connaître origine trace poulet vendre entier concerner morceau débiter
Il faut mettre les produits bio en vrac et sans emballage,6,Emballage alimentaire,mettre bio vrac emballage
"Il faut être rigoureux sur la durée de vie des produits, être un vrai partenaire de l'agriculture française et reconnu comme tel.",1,Agriculture biologique,rigoureux durée vie vrai partenaire agriculture français reconnaître
Il faut faire en sorte que tous les français puissent se nourrir de façon correcte avec des prix corrects et des produits locaux,7,Circuit court,sorte français nourrir correct prix correct local
Il faut vivre en cercle fermé,0,Consommation Viande,vivre cercle fermer
"Il faut écouter les avis des enfants sur ce qu'ils mangent, et en tenir compte lorsqu'ils ont des douleurs abdominales et baisses de régime ",0,Consommation Viande,écouter avis enfant manger tenir compte douleur abdominal baisse régime
Il faut interdire l'importation de légumes et de viandes que l'on produit en France en quantité suffisante ,1,Agriculture biologique,interdire importation légume viande produire france quantité suffisant
Il faut enlever tous les suremballages des produits et utiliser des emballages biodégradables pour tous les produits en barquettes,6,Emballage alimentaire,enlever suremballage utiliser emballage biodégradable barquette
"Il faut proposer des cours de préservation de l’environnement pour sensibiliser dès le plus jeune âge, et les intégrer au programme scolaire",8,Alimentation des enfants,proposer cours préservation lenvironnement sensibiliser jeune âge intégrer programme scolaire
Il faut éviter de gaspiller la nourriture en restauration collective,8,Alimentation des enfants,éviter gaspiller nourriture restauration collectif
Il faut sauvegarder des terres agricoles aux abords des zones urbanisées,3,Cultiver soi-même,sauvegarder terre agricole zone urbaniser
"Il faut manger local, c'est mieux pour tout le monde",7,Circuit court,manger local mieux monde
Il faut que les supermarchés proposent des produits élémentaires de très bonne qualité en filière locale,7,Circuit court,supermarché proposer élémentaire qualité filière local
"Il faut créer un chèque ""bien-manger"" pour aider les foyers aux revenus modestes à accéder aux produits les plus sains.",8,Alimentation des enfants,créer chèque bienmanger aider foyer revenu modeste accéder sain
"Il faut manger sain, vivre sain, et boire sain : pas de sucres, pas de graisses, pas de produits chimiques, et on vivra longtemps",4,Habitude de consommation alimentaire,manger sain vivre sain boire sain sucre graisse chimique vivre
Il faut éduquer les jeunes générations (scolaires) et faire savoir comment est produit ce que l'on mange (agriculture principalement),8,Alimentation des enfants,éduquer jeune génération scolaire savoir produire manger agriculture principalement
Il faut travailler main dans la main avec les cultivateurs de la région et leur faire une place précise dans les magasins,3,Cultiver soi-même,travailler main main cultivateur région place précise magasin
"Il faut arrêter la commercialisation des aliments ultra-transformés, nocifs pour notre santé ! Mangeons vrai",1,Agriculture biologique,arrêter commercialisation aliment ultratransformé nocif santé mangeon vrai
"Il faut me laisser manger de la viande si c'est mon désir, et je vous laisserai être vegan, végé, etc. A chacun son choix de vie ",0,Consommation Viande,laisser manger viande désir laisser véger choix vie
"Il faut introduire une exception aux règles du commerce international pour l'alimentation, sur le modèle de l'exception culturelle",8,Alimentation des enfants,introduire exception al règle commerce international alimentation modèle exception culturel
Il faut organiser collectivement des réseaux de nourriture saine,8,Alimentation des enfants,organiser collectivement réseau nourriture sain
"Il faut faire de la prévention dès le plus jeune âge dans les écoles sur l'alimentation, donner plus d'heures de sport à l'école ",8,Alimentation des enfants,prévention jeune âge école alimentation donner heure sport école
"Il faut favoriser voire éduquer un état d'esprit, une culture incluant non seulement l'alimentation mais aussi l'éducation et la santé ...",8,Alimentation des enfants,favoriser voire éduquer esprit culture inclure alimentation éducation santé
Il faut développer des potagers partagés gratuits dans les espaces verts au lieu du gazon ou du massif de fleurs.,3,Cultiver soi-même,développer potager partager gratuit espace verts lieu gazon massif fleur
"Il faut que l'apprentissage du savoir quoi manger se fasse aussi à l'école, dès le plus jeune âge, couplé à la maison",8,Alimentation des enfants,apprentissage savoir manger école jeune âge coupler maison
Il faut obliger les agriculteurs à passer sur des systèmes d'agro écologie,1,Agriculture biologique,obliger agriculteur passer système agro écologie
Il faut donner les moyens financiers aux gens pour leur permettre de mieux manger,8,Alimentation des enfants,donner moyen financier al permettre mieux manger
Il faut acheter local et ainsi éviter les transports et les intermédiaires,7,Circuit court,acheter local éviter transport intermédiaire
"Il faut écarter les pesticides les plus dangereux des produits alimentaires, y compris les pesticides bio !",1,Agriculture biologique,écarter pesticide dangereux alimentaire pesticide bio
"Il faut acheter juste ce que l'on ne peut pas produire, et en quantité juste selon le besoin",4,Habitude de consommation alimentaire,acheter produire quantité besoin
Il faut manger bio,7,Circuit court,manger bio
"Il faut revenir à ""se nourrir pour vivre"" et non ""vivre pour manger""",0,Consommation Viande,revenir nourrir vivre vivre manger
Il faut revenir aux petites productions et fermer les grands groupes du profit,7,Circuit court,revenir petit production fermer grand groupe profit
Il faut bannir les pesticides dans les fruits et légumes ,7,Circuit court,bannir pesticide fruit légume
Il faut que toute personne fasse du jardin et/ ou plante un arbre fruitier pour mieux manger,3,Cultiver soi-même,jardin pler arbre fruitier mieux manger
"Il faut continuer à expliquer pourquoi il ne faut pas manger trop de viande, et pas tous les jours, surtout de la viande rouge ...",0,Consommation Viande,continuer expliquer manger viande jour viande rouge
"Il faut  mettre en avant le savoir manger à l'école, expliquer comment nos aliments sont produits et pourquoi il est vraiment important",8,Alimentation des enfants,mettre savoir manger école expliquer aliment produire vraiment important
"Il faut se méfier du ""tout beau"" des végétaux : déforestation, herbicides, insecticides, sur préemption d'eau sur les rivières... ",1,Agriculture biologique,méfier beau végétal déforestation herbicide insecticide préemption eau rivière
Il faut aider les éleveurs à transitionner vers la culture végétale,1,Agriculture biologique,aider éleveur transitionner culture végétal
"Il faut permettre et promouvoir une culture bio au même prix que la culture industrielle, que ça ne coûte pas plus cher au consommateur .",7,Circuit court,permettre promouvoir culture bio prix culture industriel coûte consommateur
Il faut rémunérer correctement les producteurs et les agriculteurs,7,Circuit court,rémunérer correctement producteur agriculteur
"Il faut les produits ""périmés""sont consommables au moins une semaine s'ils sont correctement conservés sans risque pour la santé",5,Gaspillage alimentaire,périméssont consommable semaine correctement conserver risque santé
Il faut privilégier les acteurs économiques locaux ,7,Circuit court,privilégier acteur économique local
Il faut une traçabilité de tous les produits transformés en France afin de protéger et privilégier la fabrication des produits français ,2,Produits transformés,traçabilité transformer france protéger privilégier fabrication français
Il faut faire des rayons avec des légumes et les fruits moches taille pas standard difforme pour les vendre moins chers,6,Emballage alimentaire,rayon légume fruit mocher taille standard difforme vendre
Il faut diversifier les variétés de fruits et légumes pour limiter la dégradation nutritionnelle des produits alimentaires,9,Rémunération des agriculteurs,diversifier variété fruit légume limiter dégradation nutritionnel alimentaire
Il faut favoriser la permaculture afin de diminuer l'usage des pesticides et utiliser de l'engrais naturel,1,Agriculture biologique,favoriser permaculture diminuer usage pesticide utiliser engrai naturel
"Il faut que les industriels de l'agro-alimentaire fassent un effort pour réduire le sel, le sucre et le gras de leurs produits",2,Produits transformés,industriel agroalimentaire effort réduire sel sucre gras
Il faut davantage soutenir les agriculteurs bio et ceux qui souhaitent y passer pour que l'offre corresponde à la demande,1,Agriculture biologique,davantage soutenir agriculteur bio souhaitent passer offrir correspondre demande
Il faut permettre aux consommateurs de visiter régulièrement des fermes et des usines,0,Consommation Viande,permettre consommateur visiter régulièrement ferme usine
"Il faut favoriser les contacts entre producteurs locaux, distributeurs et consommateurs",7,Circuit court,favoriser contact producteur local distributeur consommateur
Il faut informer,8,Alimentation des enfants,informer
Il faut que les gros revendeurs de l'alimentation diminuent leurs marges de bénéfices,7,Circuit court,gros revendeur alimentation diminuer marge bénéfice
Il faut manger moins de plats préparés et cuisiner plus de produits frais ,4,Habitude de consommation alimentaire,manger plat préparé cuisiner frais
Il faut créer des supermarchés gérés uniquement par les petits producteurs locaux ,7,Circuit court,créer supermarché gérer uniquement petit producteur local
Il faut manger des légumes et des fruits de saison comme le faisaient les anciens,4,Habitude de consommation alimentaire,manger légume fruit saison ancien
Il faut remplacer les distributeurs de snacks par des distributeurs de fruits ou autres produits sains,9,Rémunération des agriculteurs,remplacer distributeur snacks distributeur fruit sain
Il faut favoriser les circuits courts et permettre d’identifier et localiser les acteurs de ces circuits,7,Circuit court,favoriser circuit court permettre didentifier localiser acteur circuit
Il faut essayer de permettre à tout le monde de pouvoir cultiver ses propres légumes et fruits,3,Cultiver soi-même,essayer permettre monde cultiver propre légume fruit
Il faut protéger nos sols et nos terres,1,Agriculture biologique,protéger sol terre
Il faut manger équilibré et sainement ,8,Alimentation des enfants,manger équilibré sainement
Il faut interdire les incitations  à manger des viandes et laitages,0,Consommation Viande,interdire incitation manger viande laitage
"Il faut interdire dans l'industrie alimentaire tout ce qui se manipule avec des protections à cause de leur dangerosité pour l'humain, CQFD",0,Consommation Viande,interdire industrie alimentaire manipule protection cause dangerosité humain cqfd
"Il faut interdire de vendre des produits""bios"" qui proviennent en réalité de n'importe où",0,Consommation Viande,interdire vendre produitsbio proviennent réalité
"Il faut favoriser les circuits courts pour que les agriculteurs vivent mieux et que les consommateurs mangent mieux, moins cher",7,Circuit court,favoriser circuit courts agriculteur vivre mieux consommateur manger mieux
Il faut afficher le nutriscore sur les produits,2,Produits transformés,afficher nutriscore
Il faut que chacun puisse manger comme bon lui semble et arrêter d’assister tout le monde pour tout et n'importe quoi,4,Habitude de consommation alimentaire,manger semble arrêter dassister monde
"Il faut privilégier le local de bonne qualité, valoriser les produits de petits producteurs, s'éloigner le plus possible des grandes marques",7,Circuit court,privilégier local qualité valoriser petit producteur éloigner possible grand marque
Il faut que tous les produits du quotidien soient accessibles facilement en achats en vrac et sans emballages,6,Emballage alimentaire,quotidien accessible facilement achat vrac emballage
Il faut cesser de manger de la viande,0,Consommation Viande,cesser manger viande
Il faut apprendre à accommoder les restes du frigo...,5,Gaspillage alimentaire,apprendre accommoder reste frigo
"Il faut éviter de grignoter entre les repas, et boire de l'eau pendant les repas et tout le long de la journée",4,Habitude de consommation alimentaire,éviter grignoter repas boire eau repas long journée
Il faut moins de diversité sur les produits alimentaires : réduire les quantités plutôt que de jouer la casse en rayons (gâchis ),5,Gaspillage alimentaire,diversité alimentaire réduire quantité jouer casse rayon gâchis
Il faut généraliser l'affichage du nombre d'intermédiaires et du lieu de production des biens alimentaires pour mieux guider le consommateur,5,Gaspillage alimentaire,généraliser affichage nombre intermédiaire lieu production alimentaire mieux guider consommateur
Il faut indiquer le coût de production sur le paquet de chaque produit,2,Produits transformés,indiquer coût production paquet
Il faut revenir aux élevages et à l'agriculture de proximité et aux abattoirs à la ferme,7,Circuit court,revenir élevage agriculture proximité al abattoir ferme
"Il faut arrêter de vendre des produits qui viennent de l'autre bout de la planète, comme par exemple l'ail d'Argentine. ",7,Circuit court,arrêter vendre venir bout planète exemple ail argentin
